stdg_Cd,bjd_Nm,bould_Exist_Area,cobbles_Exist_Area,etc_Area,gravels_Exist_Area,gravels_None_Area,pebble_Exist_Area,rock_Exist_Area,rock_Many_Area,stone_Exist_Area,stonebould_Exist_Area
2811012100,인천광역시 중구 송학동3가,0,0,0,3,1,0,0,0,0,0
2771038023,대구광역시 달성군 구지면 고봉리,0,0,5,67,75,0,30,0,0,0
2771038024,대구광역시 달성군 구지면 가천리,0,0,42,8,77,0,0,0,0,0
2771038026,대구광역시 달성군 구지면 예현리,0,0,2,142,89,0,8,0,0,0
2771038027,대구광역시 달성군 구지면 유산리,0,0,2,69,55,0,0,0,0,0
2771038029,대구광역시 달성군 구지면 대암리,0,0,114,66,106,0,32,0,0,0
2771038030,대구광역시 달성군 구지면 내리,0,0,23,114,114,0,11,0,0,0
2771038032,대구광역시 달성군 구지면 수리리,0,0,5,166,132,0,49,0,0,0
2771038033,대구광역시 달성군 구지면 징리,0,0,4,98,76,0,2,0,0,0
2771038035,대구광역시 달성군 구지면 도동리,0,0,82,156,126,0,69,0,0,0
2800000000,인천광역시,44,31,5082,35187,55746,352,7962,1748,4,0
4885031021,경상남도 하동군 화개면 부춘리,77,0,48,470,104,0,556,134,0,0
4885031023,경상남도 하동군 화개면 탑리,35,0,30,153,45,0,144,0,0,0
4155033023,경기도 안성시 서운면 송정리,0,0,2,0,129,0,0,0,0,0
4150037023,경기도 이천시 설성면 행죽리,0,0,9,0,428,0,0,0,0,0
4150037024,경기도 이천시 설성면 제요리,0,0,23,0,416,0,18,0,0,0
4150037025,경기도 이천시 설성면 신필리,0,0,8,0,416,0,27,0,0,0
4150037026,경기도 이천시 설성면 장천리,0,0,24,0,435,0,0,0,0,0
2811012600,인천광역시 중구 신흥동1가,0,0,0,4,11,0,0,0,0,0
2811012900,인천광역시 중구 선화동,0,0,0,0,4,0,0,0,0,0
2811013000,인천광역시 중구 유동,0,0,0,1,5,0,0,0,0,0
2811013200,인천광역시 중구 도원동,0,0,0,15,11,0,0,0,0,0
2811013300,인천광역시 중구 내동,0,0,0,5,5,0,0,0,0,0
2811013400,인천광역시 중구 경동,0,0,0,4,5,0,0,0,0,0
2811013600,인천광역시 중구 인현동,0,0,0,0,13,0,0,0,0,0
2811013700,인천광역시 중구 전동,0,0,0,14,14,0,0,0,0,0
2814010400,인천광역시 동구 화평동,0,0,0,9,4,0,0,0,0,0
4793025321,경상북도 울진군 평해읍 평해리,0,0,37,127,165,0,0,0,0,0
4793025322,경상북도 울진군 평해읍 학곡리,0,0,19,457,172,5,32,7,0,0
4793025323,경상북도 울진군 평해읍 삼달리,0,0,35,361,71,0,14,0,0,0
4793025325,경상북도 울진군 평해읍 월송리,0,0,27,115,269,4,6,0,0,0
4793025326,경상북도 울진군 평해읍 직산리,0,0,19,193,97,0,10,0,0,0
4793031000,경상북도 울진군 북면,24,2,262,6995,1447,30,4686,779,4,0
4793031021,경상북도 울진군 북면 부구리,0,0,49,779,273,7,241,0,0,0
4793031023,경상북도 울진군 북면 검성리,0,0,5,507,64,0,331,0,1,0
4793031024,경상북도 울진군 북면 주인리,8,0,51,809,121,4,610,47,3,0
4827031021,경상남도 밀양시 부북면 운전리,0,0,6,11,150,0,0,0,0,0
4827031023,경상남도 밀양시 부북면 후사포리,8,0,3,143,49,0,95,0,5,0
4785031045,경상북도 칠곡군 지천면 영오리,0,0,8,68,339,4,25,0,0,0
4785031046,경상북도 칠곡군 지천면 오산리,0,0,6,146,270,1,20,0,0,0
4785031048,경상북도 칠곡군 지천면 연호리,0,0,7,115,393,0,52,0,0,0
4785031050,경상북도 칠곡군 지천면 황학리,0,6,5,81,181,6,287,5,26,0
4155033025,경기도 안성시 서운면 산평리,0,0,4,83,76,0,105,0,0,0
4155033026,경기도 안성시 서운면 현매리,0,0,6,0,277,6,0,0,0,0
4155033028,경기도 안성시 서운면 신흥리,0,0,7,0,184,0,0,0,0,0
4155033029,경기도 안성시 서운면 신능리,0,0,1,1,176,0,0,0,0,0
4155033030,경기도 안성시 서운면 신기리,0,0,2,8,172,1,2,0,0,0
4155033032,경기도 안성시 서운면 오촌리,0,0,2,64,106,2,103,0,0,0
4155033033,경기도 안성시 서운면 양촌리,0,0,7,172,130,0,151,0,0,0
4155034000,경기도 안성시 미양면,0,0,138,4,2652,573,0,0,0,0
4136025000,경기도 남양주시 와부읍,11,86,216,2505,851,39,1301,0,0,0
4136025021,경기도 남양주시 와부읍 덕소리,0,0,17,110,173,5,0,0,0,0
4136025023,경기도 남양주시 와부읍 팔당리,1,10,79,131,57,0,407,0,0,0
4145000000,경기도 하남시,0,0,933,4030,2344,239,1726,0,12,0
4145010100,경기도 하남시 천현동,0,0,10,154,119,17,0,0,0,0
4145010300,경기도 하남시 창우동,0,0,99,124,99,0,127,0,7,0
4145010400,경기도 하남시 배알미동,0,0,84,128,5,0,704,0,0,0
4691025031,전라남도 신안군 지도읍 선도리,0,0,31,264,114,0,144,0,0,0
3020012000,대전광역시 유성구 지족동,0,0,6,147,147,89,131,35,0,0
3020012200,대전광역시 유성구 궁동,0,0,6,42,86,46,0,0,0,0
2726011100,대구광역시 수성구 두산동,0,0,21,15,115,0,48,0,0,0
2726011300,대구광역시 수성구 범물동,5,5,14,129,86,0,546,2,2,0
2726011400,대구광역시 수성구 시지동,0,0,4,98,34,0,9,0,0,0
2726011600,대구광역시 수성구 성동,0,0,24,12,107,0,20,0,0,0
2726011700,대구광역시 수성구 사월동,0,0,4,4,62,0,0,0,0,0
2726011900,대구광역시 수성구 욱수동,16,1,6,156,25,0,568,8,0,0
2726012000,대구광역시 수성구 노변동,0,0,2,85,51,0,59,0,0,0
2726012200,대구광역시 수성구 삼덕동,0,9,9,168,48,0,173,0,1,0
2726012300,대구광역시 수성구 연호동,0,0,4,93,75,0,47,0,0,0
2726012500,대구광역시 수성구 고모동,0,0,46,123,87,0,103,0,0,0
2726012600,대구광역시 수성구 가천동,0,0,53,77,115,0,64,0,0,0
2723012300,대구광역시 북구 구암동,0,0,13,100,172,0,144,0,0,0
4150034027,경기도 이천시 마장면 표교리,0,1,8,12,473,2,9,0,0,0
4150000000,경기도 이천시,0,220,1330,2379,38866,162,3230,0,0,0
4150010100,경기도 이천시 창전동,0,0,0,0,110,0,3,0,0,0
4150010200,경기도 이천시 관고동,0,0,6,8,270,2,92,0,0,0
4150010300,경기도 이천시 중리동,0,0,1,0,133,0,0,0,0,0
4150010400,경기도 이천시 증일동,0,5,1,14,359,0,0,0,0,0
4150010500,경기도 이천시 율현동,0,0,13,0,185,0,0,0,0,0
4150010700,경기도 이천시 안흥동,0,0,17,0,129,0,0,0,0,0
4150010800,경기도 이천시 갈산동,0,0,20,0,242,0,0,0,0,0
4150011000,경기도 이천시 송정동,0,0,6,0,268,0,8,0,0,0
4150011100,경기도 이천시 사음동,0,0,8,14,255,0,120,0,0,0
4150034023,경기도 이천시 마장면 관리,0,6,4,167,496,2,38,0,0,0
4150034025,경기도 이천시 마장면 장암리,0,21,1,71,312,0,131,0,0,0
4150034026,경기도 이천시 마장면 목리,0,21,4,35,226,0,21,0,0,0
2714012800,대구광역시 동구 대림동,0,0,36,8,62,0,17,0,0,0
2714012900,대구광역시 동구 사복동,0,0,17,12,67,0,17,0,0,0
2714013000,대구광역시 동구 숙천동,0,0,3,45,34,0,50,0,0,0
2714013100,대구광역시 동구 내곡동,1,0,1,160,34,0,151,82,2,0
3017011600,대전광역시 서구 관저동,0,0,21,90,275,135,50,0,0,0
3017011700,대전광역시 서구 흑석동,0,0,45,415,116,19,90,14,0,0
4679040000,전라남도 화순군 동복면,0,5,184,1529,711,0,3891,5,0,0
4679042028,전라남도 화순군 동면 경치리,0,0,3,107,35,0,207,0,0,0
4679042029,전라남도 화순군 동면 복암리,0,0,9,425,68,0,175,0,0,0
4679042031,전라남도 화순군 동면 천덕리,0,0,5,437,47,0,20,0,0,0
