stdg_Cd,bjd_Nm,soil_Crop_Cd,soil_Crop_Nm,high_Suit_Area,suit_Area,poss_Area,low_Suit_Area,etc_Area
4717041027,경상북도 안동시 예안면 도촌리,CR005,사과,16,14,25,1767,0
4717041028,경상북도 안동시 예안면 동천리,CR005,사과,6,38,59,905,0
4717041029,경상북도 안동시 예안면 신남리,CR005,사과,3,1,128,1412,61
4717041030,경상북도 안동시 예안면 기사리,CR005,사과,120,5,38,634,58
4717041032,경상북도 안동시 예안면 주진리,CR005,사과,18,0,16,466,72
4717041033,경상북도 안동시 예안면 계곡리,CR005,사과,30,35,8,885,43
4717041034,경상북도 안동시 예안면 정산리,CR005,사과,46,33,44,724,10
4717041035,경상북도 안동시 예안면 구룡리,CR005,사과,19,34,6,1395,15
4717041036,경상북도 안동시 예안면 미질리,CR005,사과,17,1,4,364,386
4717042000,경상북도 안동시 도산면,CR005,사과,983,237,260,8018,830
4717042022,경상북도 안동시 도산면 분천리,CR005,사과,17,9,0,171,65
4717042023,경상북도 안동시 도산면 의촌리,CR005,사과,37,0,0,125,110
4717042025,경상북도 안동시 도산면 단천리,CR005,사과,43,52,45,1008,125
4717042027,경상북도 안동시 도산면 태자리,CR005,사과,83,13,30,1388,4
4717042028,경상북도 안동시 도산면 온혜리,CR005,사과,257,36,48,1150,12
4717042029,경상북도 안동시 도산면 운곡리,CR005,사과,61,8,2,504,0
4717042030,경상북도 안동시 도산면 의일리,CR005,사과,126,15,15,613,0
4717042031,경상북도 안동시 도산면 동부리,CR005,사과,77,1,12,482,146
4717042033,경상북도 안동시 도산면 선양리,CR005,사과,63,7,7,355,54
4717043000,경상북도 안동시 녹전면,CR005,사과,881,77,282,5861,58
4717043022,경상북도 안동시 녹전면 갈현리,CR005,사과,18,1,25,345,0
4717043023,경상북도 안동시 녹전면 매정리,CR005,사과,17,6,13,858,4
4717043024,경상북도 안동시 녹전면 원천리,CR005,사과,61,20,50,607,21
4717043025,경상북도 안동시 녹전면 사천리,CR005,사과,40,0,16,741,3
4717043026,경상북도 안동시 녹전면 녹래리,CR005,사과,102,5,19,470,0
4717043027,경상북도 안동시 녹전면 죽송리,CR005,사과,89,7,8,383,2
4717043028,경상북도 안동시 녹전면 구송리,CR005,사과,103,15,20,452,7
4717043029,경상북도 안동시 녹전면 사신리,CR005,사과,131,6,48,579,15
4717043030,경상북도 안동시 녹전면 서삼리,CR005,사과,132,11,49,429,6
4719000000,경상북도 구미시,CR005,사과,7867,2840,8157,38544,3979
4719010100,경상북도 구미시 원평동,CR005,사과,105,57,48,55,21
4719010200,경상북도 구미시 지산동,CR005,사과,64,5,79,236,42
4719010300,경상북도 구미시 도량동,CR005,사과,71,7,85,200,12
4719010400,경상북도 구미시 봉곡동,CR005,사과,56,19,57,226,5
4719010500,경상북도 구미시 부곡동,CR005,사과,47,16,48,238,12
4719010600,경상북도 구미시 선기동,CR005,사과,64,12,70,242,16
4719010700,경상북도 구미시 수점동,CR005,사과,25,0,2,347,16
4719010800,경상북도 구미시 남통동,CR005,사과,46,7,21,1145,35
4719010900,경상북도 구미시 형곡동,CR005,사과,25,16,68,382,1
4719011000,경상북도 구미시 송정동,CR005,사과,20,25,58,54,2
4719011100,경상북도 구미시 신평동,CR005,사과,20,23,28,50,3
4719011200,경상북도 구미시 비산동,CR005,사과,28,20,16,37,65
4719011300,경상북도 구미시 공단동,CR005,사과,40,200,607,156,219
4719011400,경상북도 구미시 광평동,CR005,사과,27,12,63,76,4
4719011500,경상북도 구미시 사곡동,CR005,사과,48,12,62,109,1
4719011600,경상북도 구미시 상모동,CR005,사과,24,66,14,234,2
4719011700,경상북도 구미시 임은동,CR005,사과,27,6,24,63,2
4719011800,경상북도 구미시 오태동,CR005,사과,48,11,54,431,26
4719011900,경상북도 구미시 신동,CR005,사과,17,10,55,319,16
4719012000,경상북도 구미시 구평동,CR005,사과,20,12,57,749,13
