alfisols_Area,andisols_Area,bjd_Nm,entisols_Area,etc_Area,histosols_Area,inceptisols_Area,mollisols_Area,stdg_Cd,ultisols_Area
1,0,경상남도 창녕군 영산면 신제리,0,60,0,381,0,4874038027,0
0,0,경상남도 창녕군 영산면 월령리,0,20,0,405,0,4874038028,0
25,0,경상남도 창녕군 장마면,18,159,0,2791,0,4874039000,0
0,0,경상남도 창녕군 장마면 강리,18,17,0,156,0,4874039021,0
70,0,경상북도 영천시 고경면 창상리,43,15,0,19,0,4723038023,0
14,0,경상북도 영천시 고경면 대의리,39,15,0,386,0,4723038024,0
2,0,경상북도 영천시 고경면 오류리,0,15,0,614,0,4723038026,0
4,0,경상북도 영천시 고경면 고도리,1,5,0,431,0,4723038027,0
42,0,경상북도 영천시 고경면 용전리,34,22,0,798,0,4723038029,0
29,0,경상북도 영천시 고경면 상리리,3,8,0,285,0,4723038031,0
7,0,경상북도 영천시 고경면 학리,0,3,0,516,0,4723038032,0
4,0,경상북도 영천시 북안면 원당리,0,2,0,286,0,4723039039,0
0,0,경상남도 사천시 정동면 수청리,0,12,0,212,0,4824031025,0
44,0,경상남도 사천시 사천읍 선인리,0,0,0,77,0,4824025021,0
0,0,경상남도 사천시 사천읍 정의리,0,0,0,44,0,4824025022,0
0,0,경상남도 사천시 사천읍 수석리,0,2,0,164,0,4824025024,0
0,0,경상남도 사천시 사천읍 사주리,5,9,0,117,0,4824025025,0
0,0,경상남도 사천시 사천읍 중선리,28,14,0,142,0,4824025027,0
0,0,경상남도 사천시 사천읍 구암리,0,7,0,675,0,4824025028,0
8,0,경상남도 사천시 사천읍 금곡리,0,5,0,302,0,4824025030,0
15,0,경상남도 사천시 사천읍 두량리,0,50,0,592,0,4824025031,21
1,0,경상남도 사천시 정동면 예수리,6,16,0,242,0,4824031022,0
35,0,경상남도 사천시 정동면 화암리,0,1,0,183,0,4824031023,0
86,0,경상남도 사천시 사천읍,38,107,0,2722,0,4824025000,21
37,0,경상북도 영천시 청통면 신학리,5,8,0,127,0,4723031029,0
8,0,경상북도 영천시 청통면 애련리,17,10,0,473,0,4723031031,0
33,0,경상북도 영천시 청통면 계포리,18,9,0,93,0,4723031032,0
3,0,경상북도 영천시 청통면 신원리,256,18,0,819,0,4723031034,0
139,6,경상북도 영천시 신녕면,493,205,0,7126,0,4723032000,111
33,6,경상북도 영천시 신녕면 치산리,191,33,0,1748,0,4723032021,0
1,0,경상북도 영천시 신녕면 화서리,1,6,0,638,0,4723032023,0
13,0,경상북도 영천시 신녕면 왕산리,122,41,0,810,0,4723032025,0
100,0,경상북도 영천시 임고면 우항리,69,30,0,113,0,4723037031,0
20,0,경상북도 영천시 자양면 용산리,3,106,0,936,0,4723036025,22
23,0,경상북도 영천시 자양면 성곡리,0,184,0,449,0,4723036028,0
5,0,경상남도 김해시 진영읍 하계리,0,3,0,215,0,4825025022,99
11,0,경상남도 김해시 진영읍 방동리,0,2,0,40,0,4825025023,43
139,0,전라남도 보성군 미력면,15,143,0,2603,0,4678032000,170
35,0,전라남도 보성군 미력면 도개리,7,18,0,271,0,4678032021,0
12,0,전라남도 보성군 미력면 미력리,0,1,0,521,0,4678032022,3
12,0,전라남도 보성군 미력면 용정리,2,26,0,321,0,4678032024,54
22,0,전라남도 보성군 미력면 덕림리,6,30,0,261,0,4678032025,2
25,0,전라남도 보성군 미력면 초당리,0,3,0,285,0,4678032027,17
201,0,전라남도 보성군 겸백면,57,222,0,4178,0,4678033000,101
37,0,전라남도 보성군 겸백면 운림리,9,60,0,456,0,4678033022,0
15,0,전라남도 보성군 겸백면 은덕리,0,9,0,504,0,4678033023,3
243,0,경상북도 포항시남구 대송면,28,71,0,2153,0,4711131000,768
22,0,경상북도 포항시남구 대송면 공수리,0,1,0,30,0,4711131021,26
15,0,경상북도 포항시남구 대송면 홍계리,0,1,0,316,0,4711131023,14
17,0,경상북도 포항시남구 대송면 산여리,0,7,0,763,0,4711131024,20
0,0,경상북도 포항시북구 남빈동,3,0,0,3,0,4711310300,0
0,0,경상북도 포항시북구 상원동,3,0,0,3,0,4711310400,0
24,0,경상북도 포항시남구 오천읍 항사리,11,76,0,1763,0,4711125623,38
10,0,경상북도 포항시남구 장기면 대진리,13,7,0,98,0,4711133035,19
3,0,경상북도 포항시남구 장기면 학계리,25,4,0,149,0,4711133037,0
18,0,경상북도 포항시남구 장기면 학곡리,2,6,0,303,0,4711133038,0
25,0,경상북도 포항시남구 장기면 창지리,0,3,0,248,0,4711133040,0
1,0,전라남도 영광군 낙월면 하낙월리,0,0,0,55,0,4687038022,0
0,0,전라남도 영광군 낙월면 임병리,0,8,0,29,0,4687038023,0
11,0,전라남도 영광군 낙월면 월촌리,0,3,0,121,0,4687038025,39
12,0,전라남도 영광군 낙월면 신기리,0,5,0,162,0,4687038026,27
2,0,전라남도 영광군 낙월면 석만리,0,2,0,49,0,4687038028,0
28,0,경기도 광주시 쌍령동,10,13,0,283,0,4161010200,0
25,0,경기도 광주시 송정동,39,12,0,431,0,4161010300,0
17,0,경기도 광주시 회덕동,14,3,0,316,0,4161010400,0
10,0,경기도 광주시 목현동,66,1,0,810,0,4161010600,0
23,0,경기도 광주시 삼동,16,1,0,385,0,4161010700,0
7,0,경기도 광주시 직동,31,0,0,559,0,4161010900,0
18,0,경기도 광주시 태전동,81,16,0,373,0,4161011000,0
3,0,경기도 광주시 장지동,43,20,0,291,0,4161011100,0
13,0,경기도 광주시 목동,67,3,0,517,0,4161011300,0
0,0,경상북도 영주시 안정면 옹암리,0,0,0,189,0,4721035030,10
86,0,경상북도 영천시 녹전동,29,18,0,129,0,4723012100,0
22,0,경상북도 영천시 도림동,5,15,0,549,0,4723012200,0
6,0,경상북도 영주시 안정면 동촌리,12,7,0,278,0,4721035034,10
0,0,경상북도 영주시 장수면 소룡리,23,7,0,387,0,4721034026,0
0,0,경상북도 영주시 장수면 호문리,16,8,0,456,0,4721034027,0
0,0,경상북도 영주시 장수면 파지리,5,0,0,197,0,4721034028,0
9,0,경상북도 영주시 안정면 신전리,0,8,0,117,0,4721035021,4
10,0,경상북도 영주시 안정면 봉암리,17,1,0,238,0,4721035023,6
48,0,경상북도 영주시 안정면 용산리,8,0,0,515,0,4721035024,43
0,0,경상북도 영주시 안정면 묵리,31,4,0,307,0,4721035026,0
7,0,경상북도 영주시 안정면 내줄리,10,20,0,300,0,4721035027,7
46,0,전라남도 보성군 겸백면 남양리,8,21,0,395,0,4678033027,5
21,0,전라남도 보성군 겸백면 사곡리,0,3,0,333,0,4678033028,1
36,0,경상북도 청송군 청송읍 월막리,52,23,0,250,0,4775025021,0
186,0,경기도 성남시수정구,497,109,0,3746,0,4113100000,0
0,0,경기도 성남시수정구 신흥동,1,2,0,175,0,4113110100,0
0,0,경기도 성남시수정구 수진동,20,3,0,103,0,4113110300,0
0,0,경기도 성남시수정구 단대동,0,0,0,80,0,4113110400,0
0,0,경기도 성남시수정구 양지동,0,0,0,126,0,4113110600,0
8,0,경기도 성남시수정구 복정동,17,11,0,342,0,4113110700,0
0,0,경기도 성남시수정구 신촌동,9,5,0,66,0,4113110900,0
2,0,경기도 성남시수정구 오야동,32,10,0,74,0,4113111000,0
27,0,경상북도 포항시남구 동해면 금광리,0,3,0,301,0,4711132023,75
24,0,경상북도 포항시남구 동해면 석리,0,1,0,145,0,4711132025,48
35,0,경상북도 포항시남구 동해면 임곡리,7,0,0,143,0,4711132026,9
10,0,경상북도 포항시남구 동해면 마산리,2,1,0,212,0,4711132028,2
13,0,경상북도 포항시남구 동해면 중흥리,7,1,0,390,0,4711132030,0
12,0,경상북도 포항시남구 동해면 발산리,107,8,0,540,0,4711132031,3
15,0,경상북도 포항시남구 오천읍 진전리,0,43,0,1304,0,4711125624,0
82,0,경상북도 포항시남구 오천읍 갈평리,14,27,0,815,0,4711125625,45
7,0,경상북도 포항시남구 오천읍 용산리,25,14,0,211,0,4711125627,51
26,0,경상북도 포항시남구 오천읍 광명리,3,2,0,245,0,4711125628,50
