bjd_Nm,etc_Area,excespoor_Drain_Area,exceswell_Drain_Area,moderpoor_Drain_Area,moderwell_Drain_Area,poor_Drain_Area,stdg_Cd,well_Drain_Area
경기도 양평군 양서면 용담리,108,0,36,30,28,0,4183033022,155
경기도 양평군 양서면 부용리,9,0,173,54,52,0,4183033023,293
경기도 양평군 용문면 덕촌리,13,8,245,22,37,0,4183040031,265
경기도 양평군 용문면 오촌리,4,0,90,35,8,0,4183040032,205
경기도 양평군 개군면,219,147,495,529,231,0,4183041000,1608
경기도 양평군 개군면 하자포리,59,13,21,31,14,0,4183041021,111
경기도 양평군 개군면 앙덕리,54,0,35,11,28,0,4183041023,12
경기도 양평군 개군면 공세리,18,9,3,37,52,0,4183041025,275
충청북도 음성군 금왕읍 신평리,4,2,48,44,33,0,4377025329,62
충청북도 음성군 금왕읍 내곡리,5,19,4,15,16,0,4377025331,72
충청북도 음성군 금왕읍 구계리,23,27,57,65,47,0,4377025333,162
충청북도 음성군 금왕읍 호산리,3,36,29,82,26,0,4377025334,187
충청북도 음성군 음성읍,138,69,4215,606,510,0,4377025000,3075
충청북도 음성군 음성읍 읍내리,11,8,66,27,34,0,4377025021,201
충청북도 음성군 음성읍 평곡리,22,0,118,82,71,0,4377025022,227
충청북도 음성군 음성읍 한벌리,1,3,146,46,16,0,4377025024,220
충청남도 논산시 연산면 어은리,3,12,64,46,39,0,4423036036,361
충청남도 논산시 노성면 병사리,17,2,13,116,32,0,4423033027,192
충청남도 논산시 연산면,55,19,961,867,699,56,4423036000,2822
충청남도 논산시 강경읍 산양리,13,0,11,106,2,0,4423025032,9
충청남도 논산시 연무읍,82,77,769,1825,827,1,4423025300,2339
충청남도 논산시 연무읍 마산리,0,2,16,115,96,0,4423025321,119
충청남도 논산시 연무읍 죽평리,0,0,10,34,27,0,4423025322,154
충청남도 논산시 연무읍 동산리,0,13,16,129,48,0,4423025324,265
충청남도 논산시 연무읍 죽본리,0,0,3,85,48,0,4423025325,131
충청남도 논산시 연무읍 양지리,1,9,83,84,39,0,4423025327,197
충청남도 논산시 연무읍 고내리,6,0,181,103,104,0,4423025329,270
충청남도 논산시 연무읍 황화정리,10,0,144,174,125,0,4423025330,215
충청남도 논산시 연무읍 신화리,5,6,5,446,19,0,4423025332,51
충청남도 논산시 연무읍 봉동리,21,4,0,278,102,1,4423025333,117
충청남도 예산군 신암면 종경리,22,7,0,50,23,0,4481039021,154
충청남도 예산군 신암면 두곡리,9,2,0,126,5,3,4481039023,143
충청남도 예산군 신암면 신종리,12,1,0,122,2,0,4481039024,73
충청남도 예산군 신암면 신택리,12,7,0,66,5,2,4481039026,139
충청남도 예산군 신암면 용궁리,7,0,16,143,22,0,4481039027,228
충청남도 예산군 신암면 중예리,16,0,0,163,0,0,4481039029,0
충청남도 예산군 신암면 조곡리,0,18,41,102,16,0,4481039030,231
충청남도 예산군 신암면 오산리,5,51,4,79,22,0,4481039032,158
충청남도 예산군 신암면 탄중리,12,3,0,120,72,0,4481039033,7
충청남도 예산군 덕산면 신평리,13,0,61,11,48,0,4481036026,17
충청북도 충주시 엄정면,169,30,2946,419,526,0,4313042000,1559
충청북도 충주시 엄정면 용산리,7,0,77,64,16,0,4313042021,142
충청북도 충주시 엄정면 목계리,37,0,62,14,8,0,4313042023,89
충청북도 충주시 엄정면 논강리,1,2,237,59,34,0,4313042024,172
충청북도 충주시 동량면 대전리,16,116,493,93,52,0,4313040027,262
충청북도 충주시 금가면 하담리,31,0,2,29,38,0,4313039021,122
충청북도 충주시 금가면 잠병리,0,14,23,98,32,0,4313039022,230
충청북도 충주시 금가면 매하리,19,23,0,47,13,0,4313039024,187
충청북도 충주시 금가면 월상리,69,5,36,38,10,0,4313039025,183
충청북도 충주시 금가면 원포리,24,41,82,18,2,0,4313039027,138
충청북도 충주시 금가면 오석리,41,5,53,93,54,0,4313039028,170
충청남도 논산시 은진면 성덕리,0,0,24,84,43,0,4423041029,26
충청남도 논산시 은진면 성평리,9,0,9,48,99,0,4423041030,13
충청남도 논산시 채운면 화산리,0,0,4,129,37,0,4423042021,33
충청남도 논산시 채운면 용화리,0,0,8,59,17,8,4423042022,40
충청남도 논산시 채운면 심암리,0,22,0,20,36,0,4423042024,77
충청남도 논산시 채운면 삼거리,16,0,0,393,0,76,4423042026,0
충청남도 논산시 채운면 장화리,18,0,0,216,77,54,4423042027,6
충청남도 금산군,1492,295,16116,3318,3733,0,4471000000,32717
전라남도 진도군 고군면 오류리,14,0,0,5,52,0,4690032024,185
전라남도 진도군 고군면 벽파리,8,0,95,46,21,15,4690032025,230
전라남도 진도군 고군면 오산리,19,0,133,45,50,1,4690032027,335
전라남도 진도군 고군면 지막리,4,8,160,25,55,0,4690032028,259
충청남도 공주시 탄천면 송학리,4,13,110,45,0,0,4415032031,56
충청남도 공주시 이인면 산의리,1,17,0,27,6,0,4415031032,236
충청남도 공주시 이인면 복룡리,4,46,0,20,10,0,4415031033,256
충청남도 공주시 이인면 반송리,3,14,0,29,14,0,4415031034,245
충청남도 공주시 이인면 운암리,84,0,565,0,27,0,4415031036,127
충청남도 공주시 탄천면,206,443,1537,786,239,0,4415032000,3211
충청남도 공주시 탄천면 삼각리,4,0,205,47,19,0,4415032021,353
충청남도 공주시 탄천면 장선리,19,40,0,89,18,0,4415032023,131
충청남도 공주시 탄천면 안영리,7,83,2,45,5,0,4415032024,281
충청남도 공주시 탄천면 화정리,7,35,0,62,7,0,4415032026,74
충청남도 공주시 탄천면 남산리,7,42,68,82,17,0,4415032027,591
전라남도 장흥군 장흥읍 사안리,15,0,142,9,6,0,4680025030,72
전라남도 장흥군 장흥읍 영전리,27,0,224,48,38,0,4680025031,46
전라남도 장흥군 장흥읍 평장리,14,14,62,53,41,0,4680025033,22
전라남도 장흥군 장흥읍 덕제리,11,0,323,37,40,0,4680025034,134
전라남도 장흥군 장흥읍 향양리,3,20,0,113,26,0,4680025038,61
전라남도 장흥군 장흥읍 삼산리,1,0,205,33,29,0,4680025039,79
전라남도 장흥군 장흥읍 상리,0,0,0,21,16,0,4680025042,4
충청남도 서천군 종천면 화산리,2,0,39,50,17,0,4477039026,55
충청남도 서천군 종천면 도만리,1,0,5,32,0,0,4477039028,28
충청남도 서천군 종천면 석촌리,8,0,3,59,0,0,4477039029,138
충청남도 서천군 종천면 지석리,32,0,90,32,0,0,4477039030,115
충청남도 서천군 비인면,39,94,894,536,125,0,4477040000,1451
충청남도 서천군 비인면 성북리,4,0,91,59,37,0,4477040022,159
충청남도 서천군 비인면 선도리,9,61,22,42,13,0,4477040023,101
전라남도 진도군 조도면 진목도리,1,0,23,0,0,0,4690036038,18
전라남도 진도군 조도면 눌옥도리,1,0,53,0,0,0,4690036040,10
전라남도 진도군 임회면 명슬리,4,14,93,20,35,0,4690034021,141
전라남도 진도군 의신면 사천리,25,0,675,10,44,0,4690033021,204
전라남도 진도군 의신면 침계리,23,0,149,3,66,0,4690033022,93
전라남도 진도군 조도면 나배도리,1,0,0,0,2,0,4690036029,94
전라남도 진도군 조도면 맹성리,2,0,102,13,27,2,4690036030,150
전라남도 진도군 조도면 성남도리,2,0,52,0,8,0,4690036032,84
전라남도 진도군 조도면 죽항도리,2,0,41,0,0,0,4690036033,12
전라남도 진도군 조도면 청등도리,1,0,5,0,0,0,4690036035,0
충청북도 영동군 양산면 가선리,59,0,738,0,26,0,4374039029,88
충청북도 영동군 심천면,613,7,3809,114,752,2,4374040000,2509
충청북도 영동군 심천면 심천리,81,0,46,4,53,0,4374040021,355
충청북도 영동군 심천면 길현리,0,0,29,5,31,0,4374040023,616
충청북도 영동군 심천면 구탄리,48,0,98,11,40,0,4374040024,219
충청북도 영동군 심천면 고당리,167,0,436,6,80,0,4374040026,170
충청북도 영동군 심천면 마곡리,13,7,917,32,34,0,4374040027,83
충청북도 진천군 백곡면,41,47,5984,199,522,0,4375034000,1247
충청북도 진천군 초평면 용기리,15,0,35,95,87,0,4375032028,105
충청북도 진천군 초평면 은암리,6,0,332,32,11,0,4375032030,164
충청북도 진천군 초평면 진암리,21,0,90,52,22,11,4375032031,58
충청남도 보령시 미산면 남심리,2,0,207,50,0,0,4418039034,63
충청남도 아산시 염치읍 중방리,5,0,0,57,6,0,4420025024,74
충청남도 아산시 염치읍 쌍죽리,0,0,6,25,11,0,4420025026,118
충청남도 아산시 염치읍 곡교리,24,0,2,93,34,0,4420025028,6
충청남도 아산시 염치읍 석두리,14,0,21,42,27,0,4420025029,64
충청남도 아산시 염치읍 방현리,2,31,9,56,53,0,4420025031,261
충청남도 아산시 염치읍 송곡리,9,0,2,52,12,0,4420025032,103
충청남도 홍성군 홍동면 월현리,0,20,0,32,22,0,4480033022,132
충청남도 홍성군 홍동면 원천리,0,8,0,34,15,0,4480033023,173
충청남도 홍성군 홍동면 화신리,10,0,0,11,56,0,4480033025,64
충청남도 홍성군 홍동면 금평리,1,0,0,42,70,0,4480033027,132
충청남도 홍성군 홍동면 구정리,4,5,0,30,83,9,4480033028,120
충청남도 청양군 장평면 분향리,51,58,40,117,48,0,4479036031,172
충청남도 청양군 남양면,184,53,2108,639,259,0,4479037000,2643
충청남도 홍성군 금마면 송강리,3,0,0,30,9,0,4480032033,52
충청남도 홍성군 금마면 죽림리,4,42,0,31,79,0,4480032031,148
충청북도 괴산군 장연면 조곡리,13,0,100,2,25,0,4376032025,491
충청북도 괴산군 장연면 장암리,12,0,0,20,57,0,4376032026,628
충청북도 괴산군 장연면,86,0,108,154,348,0,4376032000,5444
충청남도 아산시 송악면 유곡리,8,0,145,2,52,0,4420031027,343
전라남도 함평군 엄다면,113,13,4,1046,105,0,4686034000,1033
전라남도 함평군 신광면 유천리,2,0,0,26,9,0,4686032032,91
전라남도 함평군 학교면,253,3,756,1195,410,1,4686033000,2023
전라남도 함평군 학교면 고막리,14,0,182,42,28,0,4686033022,137
전라남도 함평군 학교면 금송리,24,3,76,161,33,0,4686033023,114
광주광역시 광산구 산수동,20,0,0,104,31,0,2920016900,11
광주광역시 광산구 선동,25,1,127,40,57,0,2920017000,101
광주광역시 광산구 오산동,35,0,68,29,76,0,2920013600,21
광주광역시 광산구 사호동,16,0,157,23,36,0,2920013700,55
광주광역시 광산구 하산동,10,0,0,48,45,0,2920013800,132
광주광역시 광산구 본덕동,29,0,0,119,5,0,2920014000,166
광주광역시 광산구 요기동,5,0,0,32,59,0,2920014200,77
광주광역시 광산구 복룡동,0,0,0,10,0,0,2920014300,0
광주광역시 광산구 송대동,8,0,0,27,0,0,2920014400,9
광주광역시 광산구 월전동,5,0,0,146,18,0,2920014600,3
광주광역시 광산구 장록동,6,0,0,109,3,0,2920014700,20
광주광역시 광산구 송촌동,17,0,0,7,10,0,2920014800,36
인천광역시 강화군 양도면 건평리,7,10,89,85,8,0,2871035023,42
인천광역시 강화군 양도면 삼흥리,0,33,353,56,72,0,2871035025,194
인천광역시 강화군 양도면 길정리,50,7,299,95,27,0,2871035026,160
인천광역시 강화군 양도면 조산리,1,0,30,86,13,0,2871035028,93
인천광역시 강화군 불은면 두운리,0,67,76,30,47,0,2871032021,288
인천광역시 강화군 불은면 오두리,1,0,0,71,10,0,2871032023,75
인천광역시 강화군 불은면 넙성리,0,20,0,63,31,0,2871032024,91
인천광역시 강화군 화도면 동막리,5,0,192,17,3,26,2871034026,40
인천광역시 강화군 불은면 신현리,2,27,0,59,22,0,2871032025,189
인천광역시 강화군 불은면 삼성리,5,30,263,67,45,0,2871032027,241
인천광역시 강화군 불은면 덕성리,11,0,0,99,19,0,2871032028,152
충청남도 논산시 가야곡면 함적리,1,0,47,53,17,0,4423040024,111
충청남도 논산시 가야곡면 병암리,133,0,111,24,32,0,4423040026,32
충청북도 제천시 왕암동,8,19,263,67,58,0,4315012400,166
충청북도 제천시 신동,26,0,309,41,26,0,4315012600,102
충청북도 제천시 자작동,1,0,509,1,9,0,4315012700,125
충청북도 제천시 봉양읍,302,40,9945,384,865,0,4315025000,2810
충청북도 제천시 봉양읍 주포리,10,0,56,2,40,0,4315025021,32
충청북도 제천시 봉양읍 미당리,13,13,331,17,116,0,4315025023,162
충청북도 제천시 봉양읍 명도리,12,10,610,26,41,0,4315025024,175
충청북도 제천시 봉양읍 명암리,14,0,1877,0,22,0,4315025026,246
충청북도 제천시 봉양읍 옥전리,22,0,1059,2,56,0,4315025028,204
충청북도 제천시 봉양읍 구학리,19,5,926,3,44,0,4315025029,193
충청북도 제천시 신백동,4,1,54,22,41,0,4315012000,19
경상남도 합천군 대병면 유전리,107,0,229,13,56,0,4889045024,118
충청남도 예산군 덕산면 읍내리,3,0,1,20,110,0,4481036021,29
충청남도 예산군 덕산면 옥계리,37,0,139,24,48,0,4481036023,128
충청남도 예산군 덕산면 상가리,1,0,744,0,55,0,4481036024,141
충청남도 예산군 덕산면 사동리,0,0,69,30,27,0,4481036025,59
충청남도 예산군 신양면 신양리,22,0,46,73,32,0,4481032021,177
충청남도 예산군 대흥면 동서리,30,4,65,6,15,0,4481034021,27
충청남도 예산군 대흥면 교촌리,125,10,114,34,6,0,4481034023,92
충청남도 예산군 대흥면 송지리,107,0,28,6,0,0,4481034024,21
충청남도 예산군 대흥면 신속리,87,0,33,7,3,0,4481034026,23
충청남도 예산군 대흥면 지곡리,1,0,47,15,9,0,4481034028,73
충청남도 예산군 대흥면 하탄방리,16,0,30,28,4,0,4481034029,52
충청남도 예산군 대흥면 금곡리,0,7,5,24,9,0,4481034031,167
충청남도 금산군 군북면 보광리,0,0,192,0,41,0,4471034028,222
충청남도 금산군 군북면 산안리,4,0,311,0,54,0,4471034030,748
충청남도 금산군 남일면,200,15,895,416,456,0,4471035000,2831
충청남도 금산군 남일면 마장리,10,0,160,78,28,0,4471035022,143
충청남도 금산군 남일면 상동리,41,0,215,40,54,0,4471035023,106
충청남도 금산군 남일면 덕천리,31,0,159,32,85,0,4471035025,152
충청남도 금산군 남일면 신동리,14,0,43,4,49,0,4471035027,801
충청남도 금산군 남일면 음대리,17,0,2,45,43,0,4471035028,140
충청남도 금산군 군북면 조정리,2,0,51,1,45,0,4471034027,363
충청북도 옥천군 청성면 도장리,0,4,183,26,27,0,4373034034,116
충청북도 영동군 영동읍 화신리,4,0,353,4,32,0,4374025024,289
충청북도 영동군 영동읍 산익리,1,0,322,0,39,0,4374025026,75
충청북도 영동군 영동읍 매천리,10,0,238,11,28,0,4374025027,111
충청북도 영동군 영동읍 오탄리,21,0,560,0,53,0,4374025029,124
충청북도 영동군 영동읍 산이리,4,0,437,0,26,0,4374025030,131
충청북도 영동군 영동읍 설계리,3,0,585,3,58,0,4374025031,162
충청북도 옥천군 청성면 삼남리,0,0,269,26,24,0,4373034026,180
충청북도 옥천군 청성면 조천리,0,0,264,18,19,0,4373034027,143
충청북도 옥천군 청성면 고당리,38,0,0,0,7,0,4373034029,477
충청북도 옥천군 청성면 양저리,30,0,1,0,34,0,4373034031,555
충청남도 공주시 의당면 가산리,7,4,29,39,12,17,4415036033,244
충청남도 공주시 의당면 도신리,3,0,0,89,11,0,4415036035,389
충청남도 공주시 의당면 덕학리,0,13,0,67,8,0,4415036036,584
충청남도 공주시 정안면,200,40,420,718,838,0,4415037000,8640
충청남도 공주시 의당면 월곡리,7,0,92,12,81,0,4415036021,372
충청남도 공주시 의당면 두만리,1,0,0,36,22,0,4415036022,352
충청남도 공주시 의당면 수촌리,27,115,11,29,11,35,4415036024,90
충청남도 공주시 의당면 율정리,7,29,67,27,19,0,4415036025,83
충청남도 공주시 의당면 유계리,4,7,308,36,51,0,4415036027,150
충청남도 서천군 마서면 송내리,0,0,0,101,9,0,4477031031,115
충청남도 서천군 마서면 도삼리,81,0,0,225,2,0,4477031033,95
충청남도 서천군 마서면 신포리,3,0,17,84,6,0,4477031034,68
충청남도 서천군 마서면 당선리,86,0,0,126,2,0,4477031036,50
충청남도 서천군 마서면 어리,0,0,24,66,1,0,4477031037,55
충청남도 서천군 화양면 옥포리,89,0,0,110,0,0,4477032021,50
충청남도 서천군 화양면 보현리,0,0,0,50,2,0,4477032022,48
충청남도 서천군 화양면 완포리,52,0,0,63,3,0,4477032024,43
충청남도 서천군 화양면 화촌리,13,0,0,93,2,0,4477032025,35
충청남도 서천군 한산면 종지리,1,0,11,60,16,0,4477034026,18
충청남도 서천군 시초면 용곡리,7,0,0,41,1,0,4477036025,61
충청남도 청양군 청양읍 군량리,5,3,157,42,11,0,4479025027,163
충청남도 청양군 청양읍 송방리,5,0,18,74,26,0,4479025029,124
충청남도 청양군 청양읍 학당리,6,0,33,53,27,0,4479025031,319
충청남도 청양군 운곡면,119,0,1827,479,252,0,4479031000,2002
충청남도 청양군 운곡면 효제리,7,0,52,56,11,0,4479031022,224
충청남도 공주시 계룡면 죽곡리,1,0,10,49,3,0,4415033035,176
충청남도 공주시 계룡면 향지리,0,0,9,57,11,0,4415033036,290
충청남도 공주시 반포면,100,5,3436,117,416,0,4415034000,1923
충청남도 공주시 반포면 공암리,21,2,61,11,69,0,4415034021,125
충청남도 공주시 반포면 송곡리,11,0,197,40,38,0,4415034023,230
전라남도 장흥군 장흥읍 기양리,13,0,7,0,0,0,4680025023,5
전라남도 장흥군 장흥읍 예양리,6,0,16,2,0,0,4680025024,6
전라남도 장흥군 장흥읍 교촌리,0,0,10,0,0,0,4680025026,5
전라남도 장흥군 장흥읍 충열리,6,0,18,14,20,0,4680025027,8
전라남도 장흥군 안양면 지천리,3,0,0,1,0,54,4680032027,19
전라남도 장흥군 안양면 학송리,34,0,618,70,26,0,4680032028,142
전라남도 장흥군 안양면 수락리,0,0,150,21,52,0,4680032030,109
전라남도 장흥군 안양면 수문리,7,8,7,13,34,0,4680032031,84
전라남도 장흥군 안양면 해창리,31,14,66,24,5,151,4680032033,150
전라남도 장흥군 장동면,84,17,2149,581,331,0,4680033000,1305
전라남도 장흥군 장동면 조양리,33,12,23,110,54,0,4680033022,211
전라남도 진도군 조도면 소마도리,0,0,7,0,0,0,4690036027,63
전라남도 진도군 지산면 소포리,62,0,101,128,17,150,4690035027,244
전라남도 신안군 증도면 대초리,73,0,235,167,8,307,4691031023,266
전라남도 신안군 임자면,182,53,1483,253,457,273,4691032000,1775
전라남도 신안군 임자면 도찬리,23,0,161,24,109,23,4691032021,269
전라남도 신안군 임자면 광산리,18,0,199,3,35,0,4691032023,172
전라남도 신안군 임자면 재원리,3,0,230,0,0,0,4691032024,46
전라남도 신안군 임자면 이흑암리,34,5,295,97,57,62,4691032026,226
전라남도 신안군 임자면 진리,34,0,32,7,9,91,4691032027,122
전라남도 신안군 자은면,181,0,1553,747,476,173,4691033000,2117
전라남도 신안군 자은면 한운리,9,0,222,62,94,0,4691033021,230
충청남도 공주시 신풍면 평소리,6,0,0,36,15,0,4415040033,303
충청남도 공주시 신풍면 화흥리,1,0,94,13,37,0,4415040034,448
광주광역시 북구 동림동,14,0,22,123,34,0,2917010800,134
광주광역시 북구 운암동,3,0,4,124,1,0,2917010900,220
광주광역시 북구 풍향동,0,0,0,53,8,0,2917011100,5
광주광역시 북구 문흥동,0,0,52,50,27,0,2917011200,172
광주광역시 북구 각화동,2,0,154,42,27,0,2917011300,74
광주광역시 북구 두암동,0,0,124,63,136,0,2917011400,27
광주광역시 북구 오치동,2,0,35,71,0,0,2917011500,184
광주광역시 북구 매곡동,0,0,20,45,3,0,2917011700,118
광주광역시 북구 충효동,33,0,84,17,79,0,2917011800,123
광주광역시 북구 덕의동,30,0,105,21,13,0,2917011900,107
광주광역시 북구 망월동,13,1,215,69,36,0,2917012100,155
광주광역시 남구 구소동,2,0,3,42,12,0,2915511600,36
광주광역시 남구 양촌동,13,0,0,144,73,0,2915511700,9
충청남도 서산시 대산읍 대산리,4,0,82,96,49,27,4421025021,558
충청남도 서산시 대산읍 웅도리,5,0,0,4,4,10,4421025023,125
충청남도 서산시 대산읍 오지리,36,0,12,54,2,149,4421025024,440
충청남도 서산시 대산읍 대죽리,489,68,50,72,10,63,4421025027,597
충청남도 서산시 대산읍 운산리,452,382,73,124,25,546,4421025029,877
충청남도 서산시 대산읍 영탑리,57,65,62,60,7,137,4421025030,503
충청남도 아산시 영인면 창용리,280,0,0,315,68,0,4420037029,107
충청남도 아산시 영인면 신봉리,13,28,141,185,74,0,4420037030,327
충청남도 서산시 오남동,4,3,0,106,88,6,4421011200,202
충청남도 아산시 도고면 신유리,49,0,16,16,23,0,4420040026,143
경기도 가평군,2593,74,47164,580,3109,0,4182000000,30559
충청남도 홍성군 갈산면 부기리,1,43,0,21,9,1,4480038030,230
충청남도 홍성군 갈산면 기산리,19,65,0,89,5,240,4480038031,161
충청남도 홍성군 홍동면 수란리,3,42,32,30,39,0,4480033030,189
충청남도 홍성군 결성면 성호리,6,14,12,29,26,29,4480036022,277
충청남도 홍성군 결성면 금곡리,10,39,0,13,66,45,4480036024,99
충청남도 홍성군 결성면 성곡리,0,41,0,34,29,0,4480036025,275
충청남도 홍성군 결성면 교항리,33,57,38,72,41,24,4480036027,212
충청북도 제천시 청풍면 도리,102,0,54,0,0,0,4315032042,22
충청북도 제천시 청풍면 북진리,73,0,0,0,0,0,4315032044,39
충청북도 제천시 청풍면 교리,92,0,362,0,1,0,4315032046,69
충청북도 제천시 청풍면 학현리,6,0,998,0,12,0,4315032047,108
충청북도 제천시 수산면 수산리,12,0,213,0,28,0,4315033021,223
충청북도 제천시 수산면 내리,0,0,124,0,20,0,4315033022,188
충청북도 제천시 백운면,198,16,9762,205,668,0,4315036000,2601
충청북도 제천시 백운면 평동리,10,7,551,22,36,0,4315036021,168
충청북도 제천시 백운면 덕동리,21,0,2228,0,34,0,4315036023,246
충청북도 제천시 백운면 화당리,15,0,1463,0,80,0,4315036024,357
충청북도 제천시 백운면 방학리,36,1,1047,65,168,0,4315036026,350
충청남도 금산군 추부면 요광리,17,0,59,23,49,0,4471039027,398
충청남도 금산군 추부면 신평리,13,0,70,13,60,0,4471039028,271
충청남도 금산군 추부면 서대리,4,0,183,0,43,0,4471039030,358
충청북도 보은군 회남면 금곡리,3,0,0,3,3,0,4372037022,191
충청북도 보은군 회남면 용호리,63,0,0,0,1,0,4372037024,171
충청북도 보은군 회남면 은운리,9,0,0,1,8,0,4372037025,325
충청북도 보은군 회남면 법수리,82,4,0,0,12,0,4372037027,188
충청북도 보은군 회남면 거교리,26,0,0,2,2,0,4372037029,139
충청북도 보은군 회남면 서탄리,123,0,0,0,2,0,4372037032,237
충청북도 보은군 회남면 산수리,70,0,0,2,1,0,4372037033,78
충청북도 보은군 회남면 어성리,15,0,0,0,1,0,4372037035,111
충청북도 보은군 회남면 사음리,86,0,0,1,2,0,4372037037,127
충청북도 보은군 회남면 신곡리,68,0,0,0,2,0,4372037021,107
충청북도 영동군 영동읍 심원리,21,0,774,0,62,0,4374025032,80
충청북도 영동군 영동읍 봉현리,4,0,685,0,43,0,4374025033,88
충청북도 영동군 영동읍 가리,5,0,567,9,45,0,4374025035,337
충청북도 영동군 영동읍 임계리,5,0,736,0,37,0,4374025036,100
충청북도 영동군 용산면 구촌리,4,27,52,8,29,0,4374031021,104
충청북도 영동군 학산면 범화리,14,0,827,13,58,0,4374038029,310
충청북도 영동군 상촌면 흥덕리,5,0,176,0,44,0,4374035029,1334
충청북도 영동군 상촌면 궁촌리,16,1,698,0,78,0,4374035030,698
충청북도 영동군 양강면,233,2,3092,125,658,0,4374036000,4166
충청북도 영동군 양강면 괴목리,13,0,42,30,80,0,4374036021,376
충청북도 영동군 양강면 양정리,4,0,38,17,42,0,4374036023,96
충청남도 보령시 웅천읍 성동리,58,7,70,47,102,0,4418025024,168
충청남도 보령시 웅천읍 대천리,20,0,79,6,0,0,4418025025,44
충청남도 보령시 오천면 효자도리,10,11,0,0,4,0,4418032026,101
충청남도 보령시 오천면 원산도리,33,44,20,1,9,102,4418032027,606
충청남도 보령시 오천면 삽시도리,68,44,105,1,5,46,4418032028,297
충청남도 보령시 오천면 외연도리,67,0,243,0,0,0,4418032030,65
충청남도 보령시 천북면 하만리,181,96,0,13,9,48,4418033021,589
충청남도 보령시 천북면 학성리,24,31,1,16,0,121,4418033022,605
충청남도 보령시 천북면 장은리,189,72,15,41,7,43,4418033024,739
충청남도 보령시 천북면 낙동리,419,122,0,11,70,150,4418033026,475
충청남도 청양군 장평면 구룡리,28,33,4,82,9,0,4479036029,40
충청남도 청양군 장평면 관현리,9,11,99,105,14,0,4479036030,88
충청남도 청양군 운곡면 후덕리,5,0,73,28,24,0,4479031023,204
충청남도 청양군 정산면 학암리,4,8,3,62,13,0,4479033034,228
충청남도 청양군 정산면 광생리,4,0,0,68,1,0,4479033036,86
충청남도 청양군 목면,241,42,1048,464,84,0,4479034000,1567
충청남도 청양군 목면 화양리,55,19,185,104,11,0,4479034022,157
충청남도 청양군 목면 신흥리,107,0,397,50,12,0,4479034023,120
충청남도 청양군 목면 송암리,18,0,106,41,11,0,4479034025,244
충청남도 청양군 목면 대평리,17,5,94,70,4,0,4479034027,298
충청남도 청양군 청남면,310,195,856,750,198,5,4479035000,1247
충청남도 보령시 오천면 갈현리,0,6,39,16,0,0,4418032024,75
충청남도 보령시 오천면 오포리,64,17,61,116,8,0,4418032025,635
충청남도 보령시 남포면 읍내리,0,2,64,19,10,0,4418036021,43
충청남도 보령시 청소면 정전리,6,0,10,16,71,0,4418034026,223
충청남도 보령시 청소면 야현리,7,30,12,8,60,0,4418034027,142
전라남도 강진군 작천면 이남리,7,0,42,51,25,0,4681037026,50
전라남도 강진군 작천면 평기리,14,6,328,55,62,0,4681037029,79
전라남도 강진군 칠량면 영동리,0,1,312,100,41,0,4681032023,112
전라남도 강진군 칠량면 현평리,11,0,13,31,44,0,4681032024,24
전라남도 강진군 칠량면 영복리,3,15,58,31,60,5,4681032026,104
충청남도 청양군 정산면 신덕리,11,10,13,49,11,0,4479033032,219
충청남도 청양군 화성면 기덕리,4,0,46,47,13,0,4479038026,72
충청남도 청양군 화성면 용당리,11,0,63,60,11,0,4479038028,146
충청남도 청양군 화성면 신정리,8,0,83,75,24,0,4479038029,190
충청북도 진천군 문백면,183,210,3325,437,605,0,4375033000,1252
충청북도 진천군 문백면 문덕리,4,19,164,43,63,0,4375033021,121
충청북도 진천군 문백면 사양리,10,27,329,35,69,0,4375033022,139
충청북도 진천군 문백면 장월리,7,50,13,54,35,0,4375033023,35
충청북도 진천군 문백면 평산리,10,0,350,16,69,0,4375033025,120
충청북도 진천군 문백면 봉죽리,12,10,339,37,52,0,4375033027,98
충청북도 진천군 문백면 은탄리,51,0,602,12,110,0,4375033028,175
충청북도 진천군 문백면 옥성리,16,21,490,35,38,0,4375033030,101
전라남도 해남군 삼산면 상가리,8,0,116,65,41,0,4682031029,265
전라남도 해남군 화산면,527,517,718,804,342,50,4682032000,2667
전라남도 신안군 자은면 송산리,5,0,71,50,38,0,4691033022,142
전라남도 신안군 증도면,309,0,804,577,14,595,4691031000,1058
전라남도 신안군,3947,653,17391,8662,2481,6683,4691000000,24451
전라남도 신안군 흑산면 심리,9,0,187,0,0,0,4691036025,34
전라남도 신안군 흑산면 오리,2,0,81,0,0,0,4691036028,10
전라남도 신안군 흑산면 홍도리,193,0,443,0,0,0,4691036029,24
전라남도 신안군 흑산면 수리,12,0,99,0,0,0,4691036031,9
전라남도 신안군 흑산면 가거도리,94,0,807,0,0,0,4691036032,69
충청남도 홍성군 결성면 형산리,0,22,2,56,38,0,4480036029,265
충청남도 홍성군 서부면,260,180,155,532,209,431,4480037000,3013
충청남도 홍성군 서부면 광리,27,25,0,48,13,238,4480037022,190
충청남도 홍성군 서부면 궁리,149,23,0,157,21,15,4480037023,286
광주광역시 서구 농성동,0,0,4,32,0,0,2914010600,102
광주광역시 동구 산수동,0,0,24,37,53,0,2911011000,31
광주광역시 동구 지산동,1,0,147,1,74,0,2911011100,34
