bjd_Nm,posifertk_Fachs1_Area,posifertk_Fachs2_Area,posifertk_Fachs3_Area,posifertk_Fachs4_Area,posifertk_Fachs5_Area,posifertk_Fachs6_Area,posifertk_Fruit1_Area,posifertk_Fruit2_Area,posifertk_Fruit3_Area,posifertk_Fruit4_Area,posifertk_Fruit5_Area,posifertk_Fruit6_Area,posifertk_Pfld1_Area,posifertk_Pfld2_Area,posifertk_Pfld3_Area,posifertk_Pfld4_Area,posifertk_Pfld5_Area,posifertk_Pfld6_Area,posifertk_Rfld1_Area,posifertk_Rfld2_Area,posifertk_Rfld3_Area,posifertk_Rfld4_Area,posifertk_Rfld5_Area,posifertk_Rfld6_Area,stdg_Cd
경상남도 김해시 진영읍 진영리,0,0,0,0,0,2,0,0,2,0,3,7,0,0,0,0,17,29,2,15,122,158,19,7,4825025026
경상남도 김해시 진영읍 여래리,-,-,-,-,-,-,0,0,16,8,5,40,0,0,0,1,18,3,0,2,9,15,3,0,4825025027
경상남도 김해시 진영읍 신용리,0,0,0,0,0,2,0,0,0,3,1,18,0,0,0,0,17,6,0,15,15,18,4,5,4825025029
경상남도 김해시 진영읍 내룡리,0,0,0,0,3,3,0,0,0,0,5,10,0,1,0,0,2,5,1,9,18,7,4,4,4825025031
경상남도 김해시 진영읍 죽곡리,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,9,9,1,0,4825025032
경상북도 영천시,2,3,5,7,17,133,21,62,150,192,322,3253,14,98,105,127,189,2999,8,121,156,189,85,271,4723000000
경상북도 영주시 안정면 안심리,0,1,0,0,0,1,4,6,6,7,4,7,1,4,3,13,4,5,3,20,21,16,9,7,4721035029
경상북도 영천시 대전동,-,-,-,-,-,-,0,0,0,1,4,22,0,0,0,0,0,1,0,0,0,0,1,0,4723012000
경상북도 영주시 순흥면 배점리,0,1,0,1,0,0,2,5,9,16,7,43,0,3,3,6,6,31,0,2,1,3,2,0,4721037027
경상북도 영주시 순흥면 덕현리,-,-,-,-,-,-,1,3,7,9,11,61,0,2,2,4,8,20,2,3,2,3,0,0,4721037028
경상북도 영천시 오수동,-,-,-,-,-,-,0,0,0,0,0,7,0,0,0,0,0,1,-,-,-,-,-,-,4723012400
경상북도 영천시 화룡동,-,-,-,-,-,-,0,4,2,5,4,46,0,0,0,1,0,6,0,0,1,1,1,3,4723011000
경상북도 영천시 도동,-,-,-,-,-,-,0,0,2,1,1,7,0,0,0,1,0,5,0,1,2,2,0,3,4723011100
경상북도 영천시 완산동,-,-,-,-,-,-,0,0,0,1,1,2,0,0,0,0,0,3,0,2,2,1,0,4,4723011300
경상북도 영천시 범어동,-,-,-,-,-,-,0,0,0,0,0,7,-,-,-,-,-,-,0,0,2,1,0,3,4723011400
경상북도 영천시 봉동,0,0,0,0,0,1,0,0,0,0,0,10,-,-,-,-,-,-,0,3,6,1,0,6,4723011600
경상남도 합천군 대양면 양산리,1,0,0,0,0,6,-,-,-,-,-,-,0,0,1,1,1,6,0,2,4,1,1,2,4889041028
경상북도 성주군 용암면 대봉리,1,2,2,2,4,17,1,1,0,0,0,0,1,3,3,1,2,11,3,2,2,0,0,1,4784032056
경상북도 성주군 용암면 상신리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,2,8,6,0,0,0,0,4784032057
경상북도 성주군 수륜면,19,54,48,44,31,216,7,30,16,20,15,176,17,36,14,23,12,69,231,427,310,137,56,110,4784033000
전라남도 보성군 겸백면 도안리,-,-,-,-,-,-,-,-,-,-,-,-,0,5,5,4,11,29,1,5,8,7,4,4,4678033025
경상북도 상주시 남장동,-,-,-,-,-,-,0,5,4,0,5,47,5,1,0,0,4,1,4,3,3,1,0,0,4725013500
경상북도 상주시 남적동,-,-,-,-,-,-,0,1,3,1,4,18,0,0,0,1,0,1,18,32,18,7,2,6,4725013600
경상북도 상주시 함창읍,0,1,0,3,5,39,2,10,9,5,7,53,16,39,80,26,28,287,108,192,124,95,86,285,4725025000
경상북도 상주시 함창읍 오동리,-,-,-,-,-,-,0,0,1,0,0,1,0,3,4,1,5,31,5,39,30,23,9,44,4725025022
경상북도 상주시 함창읍 증촌리,-,-,-,-,-,-,0,0,0,1,0,3,1,2,1,0,0,14,22,13,7,2,7,18,4725025024
경상남도 통영시 용남면 어의리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,4822031028
경상북도 구미시 해평면 금산리,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,1,6,7,4,7,3,3,4719034026
경상북도 구미시 옥성면 대원리,0,1,0,0,0,0,0,2,1,1,2,10,1,1,1,2,1,3,3,12,8,3,1,1,4719032029
경상북도 구미시 도개면,1,2,1,2,1,42,1,2,0,1,2,11,8,26,13,20,15,85,16,90,84,30,19,21,4719033000
경상북도 구미시 도개면 가산리,0,1,0,2,0,17,-,-,-,-,-,-,3,8,1,3,3,11,4,16,19,6,4,3,4719033021
경상북도 구미시 도개면 월림리,0,0,0,0,0,6,0,1,0,0,0,0,1,5,2,1,1,10,2,17,19,5,4,1,4719033023
경상남도 양산시 원동면,1,1,0,0,1,18,19,22,33,37,41,171,14,42,66,70,64,369,217,262,334,234,143,224,4833032000
경상남도 양산시 원동면 용당리,1,1,0,0,0,1,0,2,4,4,1,11,8,26,32,30,24,123,4,12,16,17,5,8,4833032022
경기도 가평군 가평읍,0,2,0,2,2,57,1,6,2,5,4,31,9,16,17,23,12,93,244,281,109,38,24,68,4182025000
경기도 가평군 가평읍 읍내리,0,0,0,0,0,15,0,0,0,0,0,1,0,1,0,2,1,6,27,25,7,2,0,1,4182025021
경상남도 창녕군 장마면 산지리,-,-,-,-,-,-,0,0,0,1,1,1,1,2,3,4,1,13,0,3,6,39,6,1,4874039025
경상남도 창녕군 장마면 동정리,0,0,0,0,1,0,0,0,0,0,1,1,1,3,3,7,4,24,0,4,6,4,3,4,4874039027
경상남도 밀양시 무안면 판곡리,1,0,1,0,1,17,0,0,1,0,0,0,0,2,1,0,1,5,4,17,23,17,12,22,4827038029
경상남도 밀양시 초동면 반월리,1,0,0,0,0,18,-,-,-,-,-,-,0,0,1,1,0,11,0,3,6,4,7,22,4827037025
경상남도 밀양시 초동면 검암리,0,1,0,0,0,4,0,0,0,0,5,12,0,1,3,1,3,24,1,16,18,8,4,8,4827037026
경상남도 밀양시 초동면 성만리,0,0,0,0,0,6,0,0,0,0,2,7,2,3,4,8,6,23,0,3,4,0,3,0,4827037028
