aqualfs_Area,aquents_Area,aquepts_Area,aquolls_Area,aquults_Area,bjd_Nm,etc_Area,fluvents_Area,hemists_Area,humults_Area,orthents_Area,psamments_Area,saprists_Area,stdg_Cd,udalfs_Area,udands_Area,udepts_Area,udolls_Area,udults_Area
0,0,4,0,0,경기도 화성시 봉담읍 세곡리,2,0,0,0,2,0,0,4159025329,1,0,133,0,0
7,0,72,0,0,전라남도 신안군 자은면 유천리,24,0,0,0,119,0,0,4691033024,73,0,282,0,2
42,0,120,0,0,전라남도 신안군 자은면 유각리,43,0,0,0,64,17,0,4691033025,111,0,248,0,30
42,0,15,0,0,전라남도 신안군 자은면 면전리,10,0,0,0,15,18,0,4691033026,37,0,113,0,6
71,0,97,0,0,전라남도 신안군 자은면 고장리,29,0,0,0,152,87,0,4691033028,109,0,204,0,2
56,0,35,0,0,전라남도 신안군 자은면 구영리,8,0,0,0,119,0,0,4691033029,87,0,127,0,0
0,0,37,0,0,전라남도 신안군 비금면 광대리,22,0,0,0,121,24,0,4691034021,76,0,168,0,0
0,0,120,0,0,전라남도 신안군 비금면 용소리,6,0,0,0,0,17,0,4691034022,54,0,0,0,0
6,0,211,0,0,전라남도 신안군 비금면 가산리,36,0,0,0,80,0,0,4691034024,15,0,60,0,14
0,0,151,0,0,전라남도 신안군 비금면 덕산리,39,0,0,0,109,0,0,4691034025,27,0,70,0,17
0,0,171,0,0,전라남도 신안군 비금면 구림리,43,0,0,0,0,110,0,4691034027,10,0,50,0,19
0,0,76,0,0,전라남도 신안군 비금면 신원리,15,0,0,0,36,61,0,4691034028,13,0,46,0,8
48,0,84,0,0,부산광역시 강서구 죽림동,35,0,0,0,0,0,0,2644010500,3,0,20,0,10
19,0,146,0,0,부산광역시 강서구 식만동,34,0,0,0,0,42,0,2644010600,0,0,14,0,0
3,0,400,0,0,부산광역시 강서구 죽동동,35,0,0,0,0,1,0,2644010700,6,0,4,0,2
195,0,426,0,0,부산광역시 강서구 봉림동,261,0,0,0,0,0,0,2644010800,4,0,100,0,6
10,0,102,0,0,부산광역시 강서구 화전동,110,0,0,0,0,27,0,2644011000,2,0,51,15,38
1,0,49,0,0,경기도 화성시 팔탄면 덕우리,0,0,0,0,0,0,0,4159036030,2,0,188,0,8
0,0,39,0,0,경기도 화성시 서신면 제부리,24,0,0,0,26,5,0,4159035026,3,0,49,0,0
7,0,68,0,0,경기도 화성시 서신면 홍법리,0,0,0,0,1,0,0,4159035027,5,0,202,0,4
14,0,155,0,0,경기도 화성시 서신면 매화리,22,0,0,0,2,0,0,4159035029,16,0,131,0,26
26,0,144,0,0,경기도 화성시 서신면 용두리,4,0,0,0,0,0,0,4159035030,10,0,276,0,0
15,0,100,0,0,경기도 화성시 서신면 백미리,12,0,0,0,4,0,0,4159035032,10,0,229,0,0
198,9,1088,0,0,경기도 화성시 팔탄면,220,0,0,0,31,0,0,4159036000,107,0,3288,0,149
0,0,72,0,0,경기도 화성시 팔탄면 창곡리,0,0,0,0,7,0,0,4159036022,15,0,235,0,0
0,0,40,0,0,경기도 화성시 팔탄면 기천리,46,0,0,0,3,0,0,4159036023,7,0,389,0,0
0,2,119,0,0,경기도 화성시 팔탄면 구장리,8,0,0,0,14,0,0,4159036025,3,0,356,0,0
0,0,90,0,0,경기도 화성시 팔탄면 율암리,25,0,0,0,0,0,0,4159036026,18,0,364,0,42
0,0,49,0,0,경기도 화성시 팔탄면 덕천리,8,0,0,0,0,0,0,4159036028,4,0,213,0,1
0,0,10,0,0,전라남도 순천시 낙안면 평촌리,3,0,0,0,0,0,0,4615038029,39,0,30,0,8
0,0,4,0,0,전라남도 구례군 마산면 황전리,21,0,0,0,68,0,0,4673034024,62,0,1442,0,36
0,0,28,0,0,전라남도 구례군 마산면 갑산리,3,0,0,0,0,0,0,4673034025,186,0,38,0,0
0,0,274,0,0,전라남도 구례군 광의면,88,0,0,0,187,0,0,4673035000,488,0,2111,0,217
0,0,28,0,0,전라남도 구례군 광의면 연파리,9,0,0,0,16,0,0,4673035021,26,0,26,0,12
0,0,31,0,0,전라남도 구례군 광의면 대산리,14,0,0,0,17,0,0,4673035023,19,0,86,0,0
0,0,76,0,0,전라남도 구례군 광의면 지천리,15,0,0,0,34,0,0,4673035024,113,0,60,0,0
0,0,24,0,0,전라남도 구례군 광의면 대전리,3,0,0,0,5,0,0,4673035026,23,0,96,0,53
0,0,44,0,0,전라남도 구례군 광의면 온당리,7,0,0,0,28,0,0,4673035027,114,0,426,0,42
0,0,366,0,0,전라남도 구례군 용방면,69,21,0,0,171,0,0,4673036000,275,0,1540,0,19
0,0,58,0,0,전라남도 구례군 용방면 신지리,16,16,0,0,15,0,0,4673036022,37,0,26,0,0
0,0,121,0,0,경상남도 창녕군 영산면 신제리,60,0,0,0,0,0,0,4874038027,1,0,261,0,0
0,0,237,0,0,경상남도 창녕군 영산면 월령리,20,0,0,0,0,0,0,4874038028,0,0,169,0,0
0,0,571,0,0,경상남도 창녕군 장마면,159,0,0,0,18,0,0,4874039000,25,0,2220,0,0
0,0,90,0,0,경상남도 창녕군 장마면 강리,17,0,0,0,18,0,0,4874039021,0,0,66,0,0
0,0,6,0,0,경상북도 영천시 고경면 창상리,15,23,0,0,20,0,0,4723038023,70,0,12,0,0
0,0,26,0,0,경상북도 영천시 고경면 대의리,15,26,0,0,13,0,0,4723038024,14,0,360,0,0
0,0,40,0,0,경상북도 영천시 고경면 오류리,15,0,0,0,0,0,0,4723038026,2,0,573,0,0
0,0,24,0,0,경상북도 영천시 고경면 고도리,5,1,0,0,0,0,0,4723038027,4,0,407,0,0
18,0,61,0,0,경상북도 영천시 고경면 용전리,22,34,0,0,0,0,0,4723038029,24,0,737,0,0
10,0,34,0,0,경상북도 영천시 고경면 상리리,8,3,0,0,0,0,0,4723038031,19,0,250,0,0
0,0,19,0,0,경상북도 영천시 고경면 학리,3,0,0,0,0,0,0,4723038032,7,0,497,0,0
0,0,6,0,0,경상북도 영천시 북안면 원당리,2,0,0,0,0,0,0,4723039039,4,0,280,0,0
0,0,0,0,0,경상남도 사천시 정동면 수청리,12,0,0,0,0,0,0,4824031025,0,0,212,0,0
44,0,11,0,0,경상남도 사천시 사천읍 선인리,0,0,0,0,0,0,0,4824025021,0,0,66,0,0
0,0,13,0,0,경상남도 사천시 사천읍 정의리,0,0,0,0,0,0,0,4824025022,0,0,31,0,0
0,0,143,0,0,경상남도 사천시 사천읍 수석리,2,0,0,0,0,0,0,4824025024,0,0,21,0,0
0,0,76,0,0,경상남도 사천시 사천읍 사주리,9,0,0,0,5,0,0,4824025025,0,0,41,0,0
0,26,142,0,0,경상남도 사천시 사천읍 중선리,14,0,0,0,2,0,0,4824025027,0,0,0,0,0
0,0,84,0,0,경상남도 사천시 사천읍 구암리,7,0,0,0,0,0,0,4824025028,0,0,591,0,0
0,0,2,0,0,경상남도 사천시 사천읍 금곡리,5,0,0,0,0,0,0,4824025030,8,0,299,0,0
0,0,94,0,0,경상남도 사천시 사천읍 두량리,50,0,0,0,0,0,0,4824025031,15,0,498,0,21
0,0,54,0,0,경상남도 사천시 정동면 예수리,16,1,0,0,5,0,0,4824031022,1,0,189,0,0
27,0,27,0,0,경상남도 사천시 정동면 화암리,1,0,0,0,0,0,0,4824031023,8,0,156,0,0
53,29,692,0,0,경상남도 사천시 사천읍,107,0,0,0,9,0,0,4824025000,33,0,2030,0,21
4,0,40,0,0,경상북도 영천시 청통면 신학리,8,3,0,0,1,0,0,4723031029,33,0,86,0,0
0,0,41,0,0,경상북도 영천시 청통면 애련리,10,0,0,0,17,0,0,4723031031,8,0,432,0,0
12,0,11,0,0,경상북도 영천시 청통면 계포리,9,14,0,0,4,0,0,4723031032,20,0,82,0,0
0,0,29,0,0,경상북도 영천시 청통면 신원리,18,8,0,0,248,0,0,4723031034,3,0,790,0,0
30,0,235,0,0,경상북도 영천시 신녕면,205,145,0,109,348,0,0,4723032000,109,6,6891,0,2
0,0,19,0,0,경상북도 영천시 신녕면 치산리,33,0,0,0,191,0,0,4723032021,33,6,1728,0,0
0,0,8,0,0,경상북도 영천시 신녕면 화서리,6,1,0,0,0,0,0,4723032023,1,0,630,0,0
0,0,5,0,0,경상북도 영천시 신녕면 왕산리,41,49,0,0,73,0,0,4723032025,13,0,805,0,0
10,0,3,0,0,경상북도 영천시 임고면 우항리,30,56,0,0,13,0,0,4723037031,90,0,110,0,0
0,0,0,0,0,경상북도 영천시 자양면 용산리,106,0,0,0,3,0,0,4723036025,20,0,936,0,22
0,0,0,0,0,경상북도 영천시 자양면 성곡리,184,0,0,0,0,0,0,4723036028,23,0,449,0,0
0,0,28,0,0,경상남도 김해시 진영읍 하계리,3,0,0,0,0,0,0,4825025022,5,0,188,0,99
4,0,9,0,0,경상남도 김해시 진영읍 방동리,2,0,0,0,0,0,0,4825025023,7,0,31,0,43
34,0,550,0,0,전라남도 보성군 미력면,143,0,0,0,15,0,0,4678032000,106,0,2053,0,170
34,0,68,0,0,전라남도 보성군 미력면 도개리,18,0,0,0,7,0,0,4678032021,1,0,203,0,0
0,0,63,0,0,전라남도 보성군 미력면 미력리,1,0,0,0,0,0,0,4678032022,12,0,458,0,3
0,0,88,0,0,전라남도 보성군 미력면 용정리,26,0,0,0,2,0,0,4678032024,12,0,234,0,54
0,0,72,0,0,전라남도 보성군 미력면 덕림리,30,0,0,0,6,0,0,4678032025,22,0,189,0,2
0,0,59,0,0,전라남도 보성군 미력면 초당리,3,0,0,0,0,0,0,4678032027,25,0,227,0,17
32,0,411,0,0,전라남도 보성군 겸백면,222,0,0,0,57,0,0,4678033000,168,0,3766,0,101
0,0,3,0,0,전라남도 보성군 겸백면 운림리,60,0,0,0,9,0,0,4678033022,37,0,453,0,0
0,0,56,0,0,전라남도 보성군 겸백면 은덕리,9,0,0,0,0,0,0,4678033023,15,0,448,0,3
79,0,323,0,0,경상북도 포항시남구 대송면,71,22,0,0,6,0,0,4711131000,164,0,1830,0,768
15,0,22,0,0,경상북도 포항시남구 대송면 공수리,1,0,0,0,0,0,0,4711131021,7,0,8,0,26
0,0,9,0,0,경상북도 포항시남구 대송면 홍계리,1,0,0,0,0,0,0,4711131023,15,0,307,0,14
0,0,0,0,0,경상북도 포항시남구 대송면 산여리,7,0,0,0,0,0,0,4711131024,17,0,762,0,20
0,0,3,0,0,경상북도 포항시북구 남빈동,0,0,0,0,0,3,0,4711310300,0,0,0,0,0
0,0,3,0,0,경상북도 포항시북구 상원동,0,0,0,0,0,3,0,4711310400,0,0,0,0,0
0,0,1,0,0,경상북도 포항시남구 오천읍 항사리,76,3,0,0,7,0,0,4711125623,24,0,1763,0,38
0,0,22,0,0,경상북도 포항시남구 장기면 대진리,7,0,0,0,1,12,0,4711133035,10,0,77,0,19
0,0,22,0,0,경상북도 포항시남구 장기면 학계리,4,0,0,0,25,0,0,4711133037,3,0,127,0,0
0,0,29,0,0,경상북도 포항시남구 장기면 학곡리,6,1,0,0,1,0,0,4711133038,18,0,274,0,0
0,0,29,0,0,경상북도 포항시남구 장기면 창지리,3,0,0,0,0,0,0,4711133040,25,0,219,0,0
0,0,0,0,0,전라남도 영광군 낙월면 하낙월리,0,0,0,0,0,0,0,4687038022,1,0,55,0,0
