bjd_Nm,stdg_Cd,vldsia_Rfld1_Area,vldsia_Rfld2_Area,vldsia_Rfld3_Area,vldsia_Rfld4_Area,vldsia_Rfld5_Area,vldsia_Rfld6_Area
전라남도 완도군 신지면 동고리,4689032026,9,32,18,5,4,3
전라남도 완도군 고금면,4689033000,64,438,182,79,21,9
전라남도 진도군 진도읍 수역리,4690025027,2,10,28,36,88,32
전라남도 진도군 진도읍 수유리,4690025028,20,119,72,98,44,110
전라남도 진도군 진도읍 해창리,4690025030,7,55,79,29,4,31
전라남도 진도군 진도읍 염장리,4690025031,0,2,3,2,1,4
충청북도 보은군 산외면 탁주리,4372040026,1,7,3,2,1,2
충청북도 보은군 산외면 오대리,4372040027,4,12,4,2,0,0
충청북도 보은군 산외면 아시리,4372040029,1,2,2,1,2,0
충청북도 보은군 산외면 신정리,4372040031,0,3,1,1,0,1
충청북도 보은군 산외면 동화리,4372040032,1,8,2,2,0,4
전라남도 장흥군 용산면 모산리,4680031030,9,9,5,7,4,4
전라남도 장흥군 용산면 계산리,4680031031,28,19,8,4,3,3
전라남도 장흥군 용산면 풍길리,4680031033,28,67,13,5,7,6
전라남도 장흥군 용산면 상발리,4680031034,7,13,3,3,3,4
전라남도 장흥군 안양면,4680032000,421,393,172,138,82,215
전라남도 장흥군 안양면 기산리,4680032021,15,11,7,6,3,9
충청남도 서천군 비인면 성산리,4477040028,29,30,3,30,11,1
충청남도 서천군 비인면 관리,4477040029,32,82,33,16,6,15
충청남도 서천군 비인면 장포리,4477040031,4,34,19,9,15,15
충청남도 서천군 서면,4477041000,387,863,359,177,108,122
충청남도 서천군 서면 마량리,4477041022,12,2,2,2,0,1
충청남도 서천군 서면 월리,4477041023,33,52,8,8,3,4
충청남도 서천군 서면 원두리,4477041025,4,125,97,37,24,24
충청남도 홍성군 금마면,4480032000,95,631,380,131,59,74
충청남도 홍성군 금마면 봉서리,4480032022,17,35,12,11,3,5
충청남도 홍성군 금마면 가산리,4480032024,1,31,21,1,2,1
충청남도 홍성군 금마면 부평리,4480032025,7,33,13,3,3,6
충청남도 홍성군 금마면 용흥리,4480032027,8,10,15,3,2,3
충청남도 홍성군 금마면 송암리,4480032028,0,28,18,2,2,1
충청남도 홍성군 금마면 신곡리,4480032030,5,61,50,11,3,4
충청남도 홍성군 장곡면 대현리,4480034035,7,13,28,15,5,5
충청북도 괴산군 감물면 오성리,4376031021,32,65,32,20,6,6
충청북도 괴산군 감물면 오창리,4376031022,16,12,2,0,0,0
충청북도 괴산군 감물면 구월리,4376031024,5,20,1,1,1,0
충청북도 괴산군 감물면 백양리,4376031025,20,36,5,3,2,2
충청북도 괴산군 감물면 매전리,4376031027,1,30,4,1,0,0
