bjd_Nm,etc_Area,field_Area,forest_Area,fruit_Area,grass_Area,paddy_Area,stdg_Cd
경기도 화성시 송산면 마산리,8,86,0,86,43,141,4159034030
경기도 화성시 송산면 고포리,16,96,62,78,28,79,4159034031
경기도 화성시 송산면 중송리,5,67,7,62,34,111,4159034033
경기도 화성시 송산면 육일리,0,76,4,49,27,56,4159034034
경기도 화성시 서신면,251,845,450,846,537,1403,4159035000
경기도 화성시 서신면 전곡리,60,80,35,198,124,172,4159035021
경상남도 고성군 고성읍 성내리,0,15,0,0,0,0,4882025021
경상남도 고성군 고성읍 서외리,0,26,0,2,0,20,4882025022
경상남도 고성군 고성읍 동외리,0,37,0,15,20,58,4882025024
경상남도 고성군 고성읍 송학리,7,32,0,3,0,146,4882025025
전라남도 순천시 낙안면 옥산리,3,25,1,11,22,73,4615038028
전라남도 구례군 마산면 광평리,13,101,55,3,77,50,4673034022
전라남도 강진군 군동면 파산리,14,89,98,52,163,178,4681031021
전라남도 강진군 군동면 라천리,4,44,17,15,93,194,4681031023
전라남도 강진군 군동면 화산리,15,191,230,77,323,114,4681031025
전라남도 강진군 군동면 용소리,34,71,225,46,153,120,4681031026
전라남도 강진군 군동면 장산리,17,53,401,18,49,142,4681031028
전라남도 강진군 군동면 덕천리,61,67,106,32,180,110,4681031029
전라남도 강진군 군동면 쌍덕리,5,33,5,50,17,84,4681031031
전라남도 강진군 군동면 금사리,22,71,207,18,228,52,4681031032
전라남도 강진군 칠량면,137,555,1798,369,1804,1343,4681032000
전라남도 강진군 칠량면 동백리,2,73,175,18,230,77,4681032022
경상북도 상주시 성하동,0,5,0,0,0,0,4725010100
경상북도 상주시 성동동,2,19,0,0,0,147,4725010200
경상북도 상주시 복룡동,32,63,0,0,0,60,4725010400
경상북도 상주시 냉림동,10,13,0,0,0,58,4725010500
경상북도 상주시 남성동,0,43,0,0,2,17,4725010700
경상북도 상주시 서문동,0,14,0,0,0,7,4725010800
경상북도 영천시 북안면 관리,8,47,179,36,87,21,4723039038
경상북도 상주시 함창읍 척동리,8,28,1,2,3,46,4725025030
경상북도 상주시 함창읍 태봉리,25,32,2,0,0,153,4725025031
경상북도 영천시 북안면 반정리,27,88,57,33,187,133,4723039041
경상북도 영천시 북안면 도유리,10,19,118,42,98,44,4723039024
경상남도 사천시 늑도동,5,6,0,0,39,0,4824012000
경상남도 사천시 신수동,12,27,0,48,25,1,4824012100
경상남도 사천시 백천동,19,5,462,16,147,2,4824012200
경상남도 사천시 대포동,3,14,0,0,0,46,4824012500
경상남도 사천시 송포동,7,52,108,22,75,157,4824012600
경상남도 밀양시 무안면 화봉리,11,28,464,43,117,113,4827038024
경상남도 밀양시 무안면 양효리,7,16,118,69,90,84,4827038026
경상북도 영천시 자양면 용화리,14,12,1193,8,215,14,4723036029
경상북도 영천시 임고면 양항리,42,87,37,19,87,50,4723037021
경상북도 영천시 임고면 덕연리,32,134,40,18,142,44,4723037023
경상북도 영천시 임고면 삼매리,41,139,587,86,84,102,4723037024
경상북도 영천시 임고면 황강리,5,42,1,13,48,36,4723037026
경상북도 영천시 임고면 효리,23,167,176,27,187,103,4723037027
경상북도 영천시 임고면 사리,71,112,819,135,143,92,4723037029
경상북도 영천시 임고면 수성리,14,118,1342,83,287,107,4723037030
경상북도 영천시 자양면 충효리,86,43,781,16,155,54,4723036023
경상북도 영천시 북안면 상리,9,25,178,45,184,50,4723039021
경상북도 영천시 북안면 당리,7,23,94,3,63,67,4723039022
경상북도 영천시 자양면 신방리,7,41,473,64,79,43,4723036026
경상남도 김해시 삼계동,16,107,414,68,267,134,4825010700
경상남도 김해시 내동,14,39,32,13,31,124,4825010800
경상남도 사천시 곤명면 추천리,4,24,46,60,99,92,4824036021
