bjd_Nm,etc_Area,field_Grade1_Area,field_Grade2_Area,field_Grade3_Area,field_Grade4_Area,field_Grade5_Area,stdg_Cd
경상남도 사천시 사천읍 중선리,14,2,0,142,0,26,4824025027
경상남도 사천시 사천읍 구암리,7,0,29,197,116,332,4824025028
경상남도 사천시 사천읍 금곡리,5,0,13,17,25,255,4824025030
경상남도 사천시 사천읍 두량리,50,0,33,150,78,369,4824025031
경상남도 사천시 정동면 예수리,16,6,13,87,50,94,4824031022
경상남도 사천시 정동면 화암리,1,0,16,66,45,91,4824031023
경상남도 사천시 사천읍,107,9,151,949,437,1320,4824025000
경상북도 영천시 청통면 신학리,8,3,61,53,2,48,4723031029
경상북도 영천시 청통면 애련리,10,0,38,101,46,313,4723031031
경상북도 영천시 청통면 계포리,9,14,47,25,23,35,4723031032
경상북도 영천시 청통면 신원리,18,8,21,89,60,898,4723031034
경상북도 영천시 신녕면,205,145,388,935,639,5770,4723032000
경상북도 영천시 신녕면 치산리,33,0,34,101,160,1682,4723032021
경상북도 영천시 신녕면 화서리,6,1,31,96,31,479,4723032023
경상북도 영천시 신녕면 왕산리,41,49,32,63,54,746,4723032025
경상북도 영천시 임고면 우항리,30,56,124,23,37,42,4723037031
경상북도 영천시 자양면 용산리,106,0,14,22,123,821,4723036025
경상북도 영천시 자양면 성곡리,184,0,4,58,82,330,4723036028
경상남도 김해시 진영읍 하계리,3,0,7,75,71,165,4825025022
경상남도 김해시 진영읍 방동리,2,0,4,21,13,56,4825025023
전라남도 보성군 미력면,143,15,122,964,569,1259,4678032000
전라남도 보성군 미력면 도개리,18,7,40,72,67,125,4678032021
전라남도 보성군 미력면 미력리,1,0,18,108,31,380,4678032022
전라남도 보성군 미력면 용정리,26,2,13,165,72,139,4678032024
전라남도 보성군 미력면 덕림리,30,6,10,103,90,81,4678032025
전라남도 보성군 미력면 초당리,3,0,24,117,77,111,4678032027
전라남도 보성군 겸백면,222,56,158,1096,984,2245,4678033000
전라남도 보성군 겸백면 운림리,60,9,14,130,150,198,4678033022
전라남도 보성군 겸백면 은덕리,9,0,5,118,113,285,4678033023
경상북도 포항시남구 대송면,71,22,103,435,372,2261,4711131000
경상북도 포항시남구 대송면 공수리,1,0,8,26,18,26,4711131021
경상북도 포항시남구 대송면 홍계리,1,0,18,40,54,233,4711131023
경상북도 포항시남구 대송면 산여리,7,0,1,33,70,696,4711131024
경상북도 포항시북구 남빈동,0,0,0,0,3,3,4711310300
경상북도 포항시북구 상원동,0,0,0,0,3,3,4711310400
