bjd_Nm,stdg_Cd,vldpha_Fachs1_Area,vldpha_Fachs2_Area,vldpha_Fachs3_Area,vldpha_Fachs4_Area,vldpha_Fachs5_Area,vldpha_Fachs6_Area,vldpha_Fruit1_Area,vldpha_Fruit2_Area,vldpha_Fruit3_Area,vldpha_Fruit4_Area,vldpha_Fruit5_Area,vldpha_Fruit6_Area,vldpha_Pfld1_Area,vldpha_Pfld2_Area,vldpha_Pfld3_Area,vldpha_Pfld4_Area,vldpha_Pfld5_Area,vldpha_Pfld6_Area,vldpha_Rfld1_Area,vldpha_Rfld2_Area,vldpha_Rfld3_Area,vldpha_Rfld4_Area,vldpha_Rfld5_Area,vldpha_Rfld6_Area
충청남도 당진시 송악읍 청금리,4427025325,-,-,-,-,-,-,1,1,3,1,1,31,1,3,2,0,0,2,50,10,2,1,0,0
충청남도 당진시 송악읍 봉교리,4427025326,0,0,0,0,0,1,-,-,-,-,-,-,7,6,7,2,1,18,77,8,0,1,0,1
충청남도 천안시동남구 풍세면 남관리,4413131025,0,0,1,0,1,23,-,-,-,-,-,-,0,0,0,0,0,15,102,59,33,16,10,12
충청남도 천안시동남구 풍세면 삼태리,4413131026,0,0,0,0,0,14,-,-,-,-,-,-,2,3,1,1,1,18,30,18,10,5,0,3
충청남도 천안시동남구 풍세면 용정리,4413131027,0,0,0,0,0,4,0,0,0,0,0,3,1,0,1,1,1,20,243,173,44,21,5,10
충청남도 천안시동남구 풍세면 보성리,4413131028,0,1,2,1,0,4,0,0,0,0,1,0,0,0,0,0,2,9,48,65,27,7,1,0
충청남도 천안시동남구 광덕면,4413132000,0,0,0,0,0,14,9,0,0,0,0,5,35,284,4,3,11,169,74,123,110,94,16,22
충청남도 천안시동남구 광덕면 광덕리,4413132021,0,0,0,0,0,1,9,0,0,0,0,5,0,0,1,0,0,12,1,8,9,13,2,3
충청남도 천안시동남구 광덕면 지장리,4413132022,-,-,-,-,-,-,-,-,-,-,-,-,5,221,1,1,5,109,1,7,12,9,2,1
충청남도 천안시동남구 광덕면 보산원리,4413132023,-,-,-,-,-,-,-,-,-,-,-,-,28,1,0,0,1,7,11,9,13,8,1,2
충청남도 천안시동남구 광덕면 대덕리,4413132024,-,-,-,-,-,-,-,-,-,-,-,-,0,60,0,0,1,5,2,5,7,9,0,1
충청남도 천안시동남구 광덕면 매당리,4413132025,0,0,0,0,0,10,-,-,-,-,-,-,2,0,1,0,3,13,14,27,21,16,3,0
