allcolluvm_Layer_Area,alluvm_Layer_Area,bjd_Nm,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area,stdg_Cd
15,2,경상북도 포항시남구 동해면 마산리,26,0,1,184,4711132028
20,1,경상북도 포항시남구 동해면 중흥리,35,0,1,352,4711132030
25,6,경상북도 포항시남구 동해면 발산리,51,0,8,581,4711132031
15,2,경상북도 포항시남구 오천읍 진전리,73,0,43,1228,4711125624
55,19,경상북도 포항시남구 오천읍 갈평리,125,0,27,757,4711125625
44,25,경상북도 포항시남구 오천읍 용산리,11,0,14,214,4711125627
73,11,경상북도 포항시남구 오천읍 광명리,9,10,2,221,4711125628
2,145,경상북도 포항시남구 오천읍 용덕리,0,44,7,0,4711125630
89,22,전라남도 영광군 법성면 용덕리,28,0,4,144,4687037030
41,130,전라남도 영광군 법성면 삼당리,0,0,14,131,4687037031
26,0,전라남도 영광군 낙월면,194,0,59,882,4687038000
103,33,충청북도 음성군 원남면 주봉리,30,0,13,307,4377032029
239,14,충청북도 음성군 원남면 문암리,11,0,4,317,4377032030
137,88,충청북도 음성군 원남면 조촌리,4,0,87,947,4377032031
81,29,충청북도 음성군 원남면 덕정리,24,0,0,457,4377032033
120,46,충청북도 음성군 맹동면 쌍정리,0,10,3,190,4377033021
127,5,충청북도 음성군 맹동면 인곡리,5,0,1,226,4377033022
89,60,충청북도 음성군 맹동면 봉현리,0,32,8,78,4377033024
57,8,충청북도 음성군 맹동면 신돈리,0,0,1,53,4377033026
169,23,경기도 광주시 도척면 방도리,17,0,0,344,4161033023
91,70,충청남도 아산시 신창면 창암리,9,0,3,196,4420041023
72,25,충청남도 아산시 신창면 황산리,24,0,0,132,4420041024
120,14,충청남도 아산시 신창면 행목리,1,0,4,185,4420041025
18,156,충청남도 아산시 신창면 신달리,2,1,22,52,4420041027
136,101,충청남도 아산시 신창면 남성리,11,8,3,214,4420041028
56,159,충청남도 아산시 신창면 가덕리,15,0,36,88,4420041030
37,128,충청남도 아산시 신창면 신곡리,1,0,25,56,4420041031
13268,15613,충청남도 서산시,3010,2512,3988,32412,4421000000
80,0,충청남도 서산시 읍내동,11,0,7,134,4421010100
61,27,충청남도 서산시 동문동,0,34,0,186,4421010200
0,369,경기도 구리시 토평동,0,0,220,0,4131010700
35,16,경기도 화성시 봉담읍 마하리,0,0,3,65,4159025331
6,236,전라남도 신안군 비금면 죽림리,31,0,43,213,4691034030
30,130,부산광역시 강서구 녹산동,35,0,71,263,2644011100
73,57,부산광역시 강서구 구랑동,65,0,8,289,2644011300
68,45,부산광역시 강서구 지사동,229,0,22,865,2644011400
20,233,부산광역시 강서구 범방동,27,0,46,108,2644011600
0,42,부산광역시 강서구 신호동,0,0,366,0,2644011700
27,66,경기도 화성시 팔탄면 지월리,0,0,6,107,4159036029
52,139,경기도 화성시 서신면 송교리,3,0,26,111,4159035025
28,156,경기도 화성시 송산면 용포리,0,0,24,79,4159034024
64,284,경기도 화성시 송산면 고정리,1,0,148,174,4159034025
77,20,경기도 화성시 송산면 천등리,3,0,3,124,4159034027
50,81,경기도 화성시 송산면 신천리,4,0,10,81,4159034028
70,122,경기도 화성시 송산면 마산리,0,0,8,163,4159034030
38,96,경기도 화성시 송산면 고포리,4,0,16,204,4159034031
45,101,경기도 화성시 송산면 중송리,1,0,5,134,4159034033
87,9,경기도 화성시 송산면 육일리,6,0,0,110,4159034034
768,1157,경기도 화성시 서신면,158,10,251,1988,4159035000
89,131,경기도 화성시 서신면 전곡리,28,0,60,361,4159035021
2,0,경상남도 고성군 고성읍 성내리,0,0,0,13,4882025021
6,19,경상남도 고성군 고성읍 서외리,1,0,0,22,4882025022
25,43,경상남도 고성군 고성읍 동외리,10,0,0,52,4882025024
19,140,경상남도 고성군 고성읍 송학리,1,0,7,21,4882025025
17,47,전라남도 순천시 낙안면 옥산리,32,2,3,33,4615038028
36,92,전라남도 구례군 마산면 광평리,28,1,13,126,4673034022
126,51,전라남도 강진군 군동면 파산리,47,23,14,333,4681031021
